"","airline","hour","Date","X","Sentiment","word1","freq1","word2","freq2","word3","freq3","DEP_DELAY","DEP_DELAY_GROUP","ARR_DELAY","DISTANCE","AIR_TIME","MONTH","DAY_OF_MONTH","DAY_OF_WEEK"
"47","AA",1,2016-05-07,362,0.356521739,"aadvantage",18,"miles",18,"thanks",16,14.66666667,0.666666667,-4,1701.333333,198.6666667,5,7,6
"48","AA",1,2016-05-08,363,0.211046512,"bad",1,"badcustomerservice",1,"customer",1,-5,-1,-30,1744,198,5,8,7
"49","AA",1,2016-05-09,364,0.564227642,"thanks",3,"aadvantage",2,"bitlyumajmk",2,312,12,292,337,51,5,9,1
"50","AA",1,2016-05-12,341,0.392105263,"want",3,"check",2,"crashing",2,0,0,6,1744,205,5,12,4
"51","AA",1,2016-05-15,342,0.940909091,"aadvantage",2,"bitlyumajmk",2,"claim",2,15.5,0.5,8,2164.5,247.5,5,15,7
"52","AA",1,2016-05-16,343,0.65,"airlines",1,"airports",1,"asktsa",1,3.5,-0.5,-8.5,1934.5,226,5,16,1
"53","AA",1,2016-05-17,344,0.256451613,"aadvantage",1,"appreciate",1,"attention",1,1,0,-8,1744,202,5,17,2
"54","AA",1,2016-05-18,345,0.134210526,"aadvantage",5,"miles",5,"bitlyumajmk",4,0,-0.5,-10,1489.5,181.5,5,18,3
"55","AA",1,2016-05-19,346,0.15,"anchorage",2,"airbus",1,"beautiful",1,-2,-1,3,1744,212,5,19,4
"56","AA",1,2016-05-21,348,0.22734375,"aadvantage",13,"miles",12,"thanks",9,20.66666667,0.666666667,11.33333333,1404.666667,165.6666667,5,21,6
"57","AA",1,2016-05-22,349,0.275675676,"seat",4,"back",3,"behind",3,124.3333333,3.666666667,110,1105.333333,136,5,22,7
"58","AA",1,2016-05-23,350,0.347260274,"thanks",13,"now",8,"aadvantage",7,19,1,8,1744,205,5,23,1
"59","AA",1,2016-05-24,351,0.418181818,"aadvantage",9,"miles",8,"please",7,107.5,6.5,98,1389.5,162,5,24,2
