"","word","freq","sentiment","delay"
"140","ablindsquirrel",1,0.373188406,0.230769231
"141","abmcgraw",1,0.203846154,-1
"142","abnormal",1,0.51557377,0.363636364
"143","abo",2,0.2793682795,-0.5
"144","aboar",1,0.451456311,0.857142857
"145","aboard",35,0.450539637382353,0.436446376617647
"146","aboardi",1,0.37605042,0.222222222
"147","abolished",1,0.460526316,-0.333333333
"148","abominable",2,0.1227941175,0.2435897435
"149","abomination",1,0.552777778,-0.8
"150","abonvoyage",2,0.499333333,2.555555556
"151","abou",3,0.399416379,0.671430327666667
"152","abouttowndeb",8,0.396551724,-0.333333333
"153","abov",1,0.35625,-0.222222222
"154","aboveandbeyond",1,0.227380952,1
"155","abovebeyond",3,0.426418158333333,3.66666666666667
"156","abq",7,0.421045875,-0.327380952333333
"157","abrahamacapulco",1,0.678571429,-0.227272727
"158","abreast",3,0.622432941,2.33333333333333
"159","abrir",1,0.441666667,-0.5
"160","abroad",3,0.498334544333333,-0.105471863666667
"161","abrunello",1,0.610176991,1.75
"162","abruptly",1,0.706770833,-0.826086957
"163","abs",3,0.246189250333333,0.687134503
"164","absence",1,0.259459459,-0.5
"165","absent",1,0.375,0.217391304
"166","absolute",70,-0.0408395097,0.869899038771429
"167","absolutecycle",1,1.2,-1
"168","absolutely",114,0.250865157873874,0.350463838126126
"169","absorbed",1,-0.216666667,1.5
"170","absorbent",1,0.11637931,0
"171","absorbida",1,-0.216666667,1.5
"172","absurd",26,0.033508736875,0.893843694833333
"173","abt",10,0.0903689673333333,-0.272601794333333
"174","abudkofsky",1,0.822115385,-0.222222222
"175","abundance",2,0.05,-0.375
"176","abundant",1,-0.05,-0.5
"177","abuse",6,0.201195014333333,-0.444185444166667
"178","abuses",2,0.1641666665,0.818181818
"179","abusing",2,-0.0809514925,3.5
"180","abusive",3,0.0297935726666667,0.325925925666667
"181","abysmal",4,-0.06641555075,0.38181818175
"182","aca",1,0.797826087,-0.5
"183","acaba",1,-0.55,0.25
"184","acabo",1,-0.18,0
"185","acairport",8,0.174702381,-0.335119047625
"186","acanal",1,0.533333333,-1
"187","acapulco",1,0.366581633,-1
"188","acardboardtube",8,0.3063697315,-0.7156862745
"189","acataldonyc",1,0.331683168,0.375
"190","acc",2,0.64907011,0.8333333335
"191","accent",1,0.819672131,-0.0625
"192","accents",1,0.111538462,-1
"193","accep",1,0.294642857,-0.6
"194","accept",22,0.463548793823529,0.158517933882353
"195","acceptable",22,0.348065532545455,0.0473422750454546
"196","accepted",6,0.5088291198,1.4353968254
"197","accepting",4,0.259171744,0.265873016
"198","accepts",1,0.083333333,-0.5
"199","acces",1,-0.141666667,0
"200","access",60,0.4770264713125,0.104625502729167
"201","accessed",1,0.616666667,-0.5
"202","accessible",3,0.044852941,0.75
"203","accessing",2,0.423148148,-0.375
"204","accessories",2,0.1380813955,0.25
"205","accident",6,0.2818164055,0.278564491
"206","accidental",1,-0.190909091,-1
"207","accidentally",11,0.187447545,0.233675319909091
"208","accidents",1,0.462132353,0.448275862
"209","accidentsemergencies",1,-0.315,3.8
"210","acciones",4,0.275949367,-0.666666667
"211","acclaimed",1,0.141071429,1.785714286
"212","acclrer",1,0.388,-0.533333333
"213","acco",1,0.33,0.076923077
"214","accom",1,0.293157895,-0.152542373
"215","accomadating",1,-0.15,2.4
"216","accomm",2,0.383184767,1.42020202
"217","accommodate",28,0.307224812785714,0.47180329075
"218","accommodated",6,0.547327723166667,0.869929335333333
"219","accommodates",1,0.9125,-1
"220","accommodating",15,0.217232271,0.357655804214286
"221","accommodation",9,-0.211313125666667,2.48382916388889
"222","accommodationalternate",1,-0.47,-0.666666667
"223","accommodations",13,0.0968709904615385,0.708851206230769
"224","accomodating",1,0.687820513,0.516129032
"225","accomodations",1,-0.07,2.666666667
"226","accomplish",3,0.493893699666667,0.00833333333333336
"227","accomplishment",2,0.407894159,-0.5545454545
"228","according",12,0.241582994416667,0.21393547275
"229","accordingjade",1,0.939506173,-0.25
"230","accordingly",5,0.3973411548,0.706759907
"231","accoun",1,0.575531915,-0.625
"232","account",131,0.322078586736364,0.168462821063636
"233","accountability",4,-0.07447916675,-0.4
"234","accountable",44,0.12714664425,1.01196188072222
"235","accountreservation",1,0.581496063,0.384615385
"236","accounts",4,0.3702943,0.00550699300000001
"237","accredited",1,0.19125,-0.909090909
"238","accrual",2,0.527726953,-0.5833333335
"239","acct",10,0.4932918504,-0.4243191721
"240","acctdidnt",1,-0.018152866,6.166666667
"241","acctgrecruiter",1,0.782575758,0.606060606
"242","accumulate",1,0.170108696,6.3
"243","accumulated",3,0.105519590333333,0.920634920666667
"244","accuracca",1,0.360689655,1.357142857
"245","accuracciera",2,-0.1,-0.1
"246","accuraccjhkol",1,0.25,-0.428571429
"247","accuracy",2,0.747826087,-0.074074074
"248","accurate",9,0.284319769888889,0.222250567
"249","accurately",1,0.325,3.333333333
"250","accused",4,0.125988522,0.85364779875
"251","accuser",1,-0.161176471,0.666666667
"252","ace",1,0.222727273,-0.85
"253","aceconcierge",3,0.6,0
"254","aceman",2,0.831539352,3
"255","acepetmoving",1,0.721875,-1
"256","acetrainerlogan",1,0.285,6
"257","acfort",1,-0.116666667,2.333333333
"258","achat",1,0.877777778,-0.823529412
"259","ache",2,0.295166667,-0.447368421
"260","achei",1,0.340764331,-0.5
"261","achieve",1,0.4,-0.6
"262","achievement",3,0.537356322,-0.141414141333333
"263","achter",1,0.425,-0.545454545
"264","acid",1,0.919166667,-0.214285714
"265","ack",4,0.596952862,0.737318840666667
"266","acknowledge",7,0.386781617857143,0.182420634857143
"267","acknowledged",2,0.4790763545,0.0576923075
"268","acknowledgement",2,-0.333939394,-0.867647059
"269","acknowledgerecognize",1,0.346721311,1
"270","acl",4,0.416703297,-0.0625
"271","acolestsidsourcetypeahead",1,0.410714286,-0.428571429
"272","acoliver",1,0.475092251,-0.5625
"273","acontactsusstatedepartmenttounderstandhowpresidentdonaldtrumpsimmigrationbanaffectsplayershtml",1,0.15,12
"274","acoso",1,0.194262295,0.390243902
"275","acp",1,0.3912,-0.1875
"276","acpress",1,1.04,2.25
"277","acpresshuba",1,0.083333333,-0.5
"278","acpressmaxreil",1,0.083333333,-0.5
"279","acquire",3,0.881710526333333,0.333333333333333
"280","acquired",1,0.691666667,0.363636364
"281","acro",1,0.925,1.310344828
"282","acronym",1,0.421774194,0.090909091
"283","across",29,0.263356289964286,0.267075291928571
"284","acsjacobson",1,0.866071429,-0.375
"285","act",27,0.402017723,0.84288979465
"286","actabunnifoofoo",1,0.019230769,-0.5
"287","acted",2,0.802758216,0.9404761905
"288","acti",1,0.366581633,-1
"289","actilson",1,0.578461538,-0.285714286
"290","actin",1,0.775,0
"291","acting",5,0.1099650176,-0.3665833334
"292","action",11,0.306459502454545,0.660930736
"293","actionnews",1,0.383783784,-1
"294","actions",7,0.238039932142857,0.498719761857143
"295","actionsspeaklouderthanwords",1,0.318859649,-0.555555556
"296","activate",1,0.164285714,-1
"297","active",19,0.6511234205625,0.9327776116875
"298","activeduty",2,0.8175,0.9166666665
"299","activel",1,0.21980198,0.777777778
"300","actively",5,0.5608280768,-0.4877272728
"301","activenick",1,0.660550459,0.5
